タイムスタンプ,あなたはArsenalを見始めてどの程度ですか？,観戦会に参加されたことはありますか？,ちなみにどの観戦会に参加されましたか？,また参加したいですか？,観戦会に参加された方に聞きます。観戦会の感想をお聞かせください。できれば良かった、悪かった両方を教えてください。,どのようにアーセナルの情報を集められていますか？,"お勧めのサイトやTwitterアカウントなどありますか？( 複数回答可, 複数回答の際はアカウントごとに"",""か""、""で区切ってください)",グーナー(アーセナルファン)の集まり(観戦会を除く)に参加したことがある,参加したことがある方に質問します。どのような集まりに参加されましたか？,このようなコミュニティや集まりがあれば参加したいなどご意見があればお願いします。,観戦会に参加されたことがない方に質問します。観戦会に参加しずらいと感じたことはありますか？,こうしてくれると参加しやすいなど、観戦会参加しにくいと感じたことがあればご記入ください,その他、何かコメントやご意見があればお願いします。,,これらのアカウントをお勧めする理由を教えてください。
2022/02/06 14:26:35,10年以上(!?),ない,,,,"ブログ, 掲示板, Twitter",,ない,,,,,,,
2022/02/06 14:27:57,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"Twitter, インスタ",,ない,,,ある,,,,
2022/02/06 14:30:33,まだ見始めたばかり、これから見ようかと思う(興味を持っていただきありがとうございます!!),ない,,,,"ニュースサイト, Twitter, インスタ",,ない,,,ある,初めての人が他にもいると参加しやすい,,,
2022/02/06 14:31:07,10年以上(!?),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ない,,,,
2022/02/06 14:43:36,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",,ない,,,ある,,,,
2022/02/06 14:44:18,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"ニュースサイト, ブログ, Twitter, インスタ",,ない,,,ある,,,,
2022/02/06 14:53:38,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,"Twitter, インスタ",さるさん,ない,,,ある,,,,
2022/02/06 15:00:22,10年以上(!?),ない,,,,"ニュースサイト, ブログ, 掲示板, Twitter, インスタ",mygunner,ない,,,ある,,,,
2022/02/06 15:09:48,3~10年(ナカーマ、仲良くしましょう!!),ない,,,,Twitter,@e_nanigadesuka ☆ゆーや☆,ない,,,ある,,,,
2022/02/06 15:16:13,1~3年(この苦しい時期に応援してくださってありがとうございます!!),ない,,,,"ニュースサイト, ブログ, Twitter","日本語だとグナ島さん、らかぺまるさん
英語だとスカイスポーツやアスレチックや、ワッツやロマーノ",ない,,,ある,,,,
